epoch,epoch_time_sec,train_total_loss,train_ce_loss,train_ewc_penalty,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_g3,lr_head
1,15.0194,0.13712857253849506,0.13707985608941978,4.871640324724227e-08,0.9577836411609498,0.9520579916680315,0.9497419723656003,0.9551686350305377,5e-05,0.0002
2,14.5706,0.12689440751241313,0.12679468834151825,9.971827744771468e-08,0.9577836411609498,0.9521345656019022,0.9504598155467722,0.9542186455741891,5e-05,0.0002
3,14.6377,0.1124170133844018,0.11227971497509215,1.372995219147318e-07,0.9591029023746702,0.9537392019744961,0.9517012750455374,0.9562186455741891,5e-05,0.0002
4,14.6508,0.14521245662536886,0.14505282164447839,1.5963555628988818e-07,0.9591029023746702,0.9538921867956395,0.9504856318691349,0.9582296678943877,5e-05,0.0002
5,14.034,0.14068161567880047,0.14047866149081123,2.029545381926962e-07,0.9564643799472295,0.9510253153138072,0.947442030460142,0.9553988540409353,5e-05,0.0002
6,13.4418,0.10864165785411993,0.10842801164835691,2.1364731645058377e-07,0.9604221635883905,0.9549237243745233,0.9514272685818513,0.9592767883132357,5e-05,0.0002
7,14.2511,0.13357432621220747,0.13335999860945674,2.1432844871722207e-07,0.9525065963060686,0.9471316082325772,0.942016069028127,0.9535348322136364,5e-05,0.0002
8,14.3125,0.11767981791247924,0.11744041020671526,2.3940819902337454e-07,0.9604221635883905,0.955326441082558,0.9530453998809225,0.9581104922914913,5e-05,0.0002
9,14.621,0.1084409885522392,0.10817490712636046,2.6608122678024097e-07,0.9564643799472295,0.9511691189141273,0.9470023382401569,0.956351733622087,5e-05,0.0002
10,14.288,0.11826060474332836,0.11794652094443639,3.1408364470229974e-07,0.9577836411609498,0.9526313994028686,0.9499669611434317,0.9560189266780155,5e-05,0.0002
11,14.4526,0.1545577138248417,0.15421977597806188,3.379374706785004e-07,0.9551451187335093,0.9496928406410191,0.9469587767011547,0.9529746963839706,5e-05,0.0002
12,15.4976,0.11939871290491687,0.11902827233490017,3.70440752324915e-07,0.9591029023746702,0.9537637933887728,0.9510370403594148,0.956960783938969,2.5e-05,0.0001
