epoch,epoch_time_sec,train_loss,val_old_macro_f1,val_new_macro_f1,val_joint_macro_f1,lr
1,40.6552,0.7395173291529505,0.5851567995839224,0.3559412132582864,0.4705490064211044,0.001
2,40.3495,0.4543631119915277,0.5905839535900761,0.3771350132365918,0.48385948341333396,0.001
3,39.4736,0.3983250055923935,0.614775933484043,0.36763641788818024,0.49120617568611163,0.001
4,39.9452,0.33753888364419465,0.6139259710972433,0.37934995748520656,0.496637964291225,0.001
5,40.7549,0.35394773736965557,0.6255532158332323,0.38219385719984045,0.5038735365165363,0.001
6,40.6191,0.3171808185779359,0.6221497678945855,0.37925111285676877,0.5007004403756772,0.001
7,41.4829,0.309443789972993,0.6170173261681059,0.3215470516774133,0.46928218892275964,0.001
8,41.2204,0.28696721093344296,0.6317572933088462,0.31327647734833364,0.47251688532858993,0.001
9,41.1237,0.27002218772064557,0.6136780716084989,0.38526461912198506,0.49947134536524196,0.0005
10,41.2698,0.25037084347453,0.6184282530282115,0.38283546704599336,0.5006318600371025,0.0005
