epoch,epoch_time_sec,train_total_loss,train_ce_loss,train_ewc_penalty,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_g3,lr_head
1,14.4147,0.12300295854608218,0.11693634992568858,4.0444056431788847e-07,0.9551451187335093,0.9456275924594368,0.9419277018592277,0.9505364113814219,5e-05,0.0002
2,14.1998,0.09547826995452245,0.0851441138320499,6.889437562070573e-07,0.9432717678100264,0.9343777155441144,0.9305774846689712,0.9409033478283824,5e-05,0.0002
3,14.3797,0.07641525289250745,0.06274979106254047,9.110307536906879e-07,0.9485488126649076,0.939497229038923,0.9340490482511417,0.9472121337985087,5e-05,0.0002
4,13.4913,0.07103454718987147,0.05706291649904516,9.31442030428621e-07,0.9472295514511874,0.9391240208564111,0.9331563965775647,0.948389667041034,5e-05,0.0002
5,14.4588,0.08886747571329276,0.07324490819333328,1.0415045153422397e-06,0.9445910290237467,0.9369225887466694,0.9304581098037294,0.9477890721979791,2.5e-05,0.0001
6,14.7864,0.06640910084048907,0.05025873649865389,1.0766909352039673e-06,0.9538258575197889,0.9457961630953815,0.9405725017388239,0.9533008092871811,2.5e-05,0.0001
7,14.0718,0.07642673187785679,0.06092943917028606,1.033152814973922e-06,0.9485488126649076,0.9395650304587073,0.9340159840159841,0.9471095458648346,2.5e-05,0.0001
8,13.8103,0.06860611306296455,0.052994624390784235,1.0407659071158073e-06,0.9485488126649076,0.9395813583949864,0.9354634431420177,0.9453008092871811,2.5e-05,0.0001
9,14.175,0.05767234605219629,0.04241047662993272,1.017457940280211e-06,0.945910290237467,0.937638434951309,0.9316720958237227,0.9464978203237319,2.5e-05,0.0001
10,14.3675,0.06998712292148007,0.05484984249083532,1.009152012759134e-06,0.9525065963060686,0.9445740052161519,0.939666316824096,0.951408962569879,1.25e-05,5e-05
11,14.3189,0.050857566048701605,0.03594102460580568,9.944361105832892e-07,0.945910290237467,0.937317396469377,0.931641720509645,0.9454367874598821,1.25e-05,5e-05
