epoch,epoch_time_sec,steps_per_epoch,train_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_g3,lr_head
1,25.8282,88,0.08467328271151266,0.941952506596306,0.934750416248554,0.9296134205227713,0.9420884889030235,0.0001,0.0005
2,25.257,88,0.0768182922263143,0.945910290237467,0.9341898695775234,0.933379756458822,0.9370660470968637,0.0001,0.0005
3,25.2419,88,0.05630495616721667,0.9313984168865436,0.919279674731132,0.9140833241266295,0.929166957077807,0.0001,0.0005
4,26.1213,88,0.050752301957056094,0.9313984168865436,0.9186414645262179,0.9176184258221266,0.9248313683867817,0.0001,0.0005
5,25.5724,88,0.04868554814641935,0.9340369393139841,0.9216779094750949,0.918959922306783,0.9296694006443748,5e-05,0.00025
6,25.7706,88,0.028452848206639333,0.945910290237467,0.9363197980655004,0.9306891297108688,0.9445964978186151,5e-05,0.00025
7,24.7243,88,0.02500147906671786,0.9485488126649076,0.9390450456617158,0.9343477378778658,0.9454162893518688,5e-05,0.00025
8,24.5828,88,0.026062464293235364,0.9432717678100264,0.9347782757581905,0.9296123572948598,0.9421806872576279,5e-05,0.00025
9,24.3939,88,0.027995245791812937,0.9406332453825857,0.9289235530951151,0.9231408885721073,0.9385060608969766,5e-05,0.00025
10,24.2139,88,0.024670512643338458,0.941952506596306,0.934665593679678,0.929591752060303,0.9416632025542218,5e-05,0.00025
11,25.4779,88,0.02327765262485958,0.9445910290237467,0.9378610051530941,0.9333324405490824,0.9441806872576282,2.5e-05,0.000125
12,26.0929,88,0.018033759349650194,0.9393139841688655,0.9290074270322535,0.9243465527988615,0.937030978905106,2.5e-05,0.000125
