epoch,epoch_time_sec,train_loss,val_old_macro_f1,val_new_macro_f1,val_joint_macro_f1,lr
1,36.6474,0.36367221068867966,0.6283673432563692,0.4783190066857689,0.5533431749710691,0.001
2,37.8904,0.1575372794042688,0.6457065538735854,0.49122542905071187,0.5684659914621486,0.001
3,37.3258,0.1020802298468376,0.6536112085812299,0.3964604179429583,0.525035813262094,0.001
4,37.4544,0.07266714870313967,0.6612542616066747,0.32992706992706994,0.4955906657668723,0.001
5,37.1423,0.07320038630619399,0.664579347142877,0.32946176612292655,0.4970205566329018,0.001
6,37.418,0.059183755702885595,0.6645558150910998,0.3976316259602378,0.5310937205256688,0.0005
7,37.6924,0.033511644558334525,0.6526283145304187,0.4948633059148776,0.5737458102226481,0.0005
8,37.6127,0.03447061349168297,0.6612931500256407,0.32438730297087237,0.49284022649825654,0.0005
9,37.7553,0.022933451387615614,0.673524155782034,0.32791525570895197,0.500719705745493,0.0005
10,37.6745,0.021452815349604394,0.6709188423308481,0.39584248832738256,0.5333806653291153,0.0005
11,37.189,0.02339212659025788,0.6764440733883157,0.39469313767803194,0.5355686055331739,0.00025
12,38.1125,0.018904585255625512,0.6755270828439542,0.39584248832738256,0.5356847855856683,0.00025
