label,precision,recall,f1-score,support
Apple___Apple_scab,1.0,0.9920634920634921,0.9960159362549801,126.0
Apple___Black_rot,1.0,1.0,1.0,124.0
Apple___healthy,0.9937888198757764,0.9726443768996961,0.9831029185867896,329.0
Blueberry___healthy,0.9646302250803859,1.0,0.9819967266775778,300.0
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,210.0
Cherry_(including_sour)___healthy,1.0,0.9941520467836257,0.9970674486803519,171.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9230769230769231,0.9320388349514563,0.927536231884058,103.0
Corn_(maize)___Common_rust_,0.9957081545064378,0.9747899159663865,0.9851380042462845,238.0
Corn_(maize)___Northern_Leaf_Blight,0.9408866995073891,0.9695431472081218,0.955,197.0
Corn_(maize)___healthy,1.0,0.9956896551724138,0.9978401727861771,232.0
Grape___Black_rot,0.9957805907172996,1.0,0.9978858350951374,236.0
Grape___Esca_(Black_Measles),1.0,0.9891696750902527,0.9945553539019963,277.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9953703703703703,1.0,0.9976798143851509,215.0
Grape___healthy,1.0,0.9882352941176471,0.9940828402366864,85.0
Orange___Haunglongbing_(Citrus_greening),0.9990917347865577,0.9990917347865577,0.9990917347865577,1101.0
Peach___Bacterial_spot,0.9978260869565218,1.0,0.998911860718172,459.0
Peach___healthy,0.972972972972973,1.0,0.9863013698630136,72.0
"Pepper,_bell___Bacterial_spot",1.0,0.9949748743718593,0.9974811083123426,199.0
"Pepper,_bell___healthy",0.9899665551839465,1.0,0.9949579831932773,296.0
Potato___Early_blight,1.0,0.98,0.98989898989899,200.0
Potato___Late_blight,0.9851485148514851,0.995,0.9900497512437811,200.0
Raspberry___healthy,1.0,1.0,1.0,74.0
Soybean___healthy,1.0,0.9950884086444007,0.9975381585425899,1018.0
Squash___Powdery_mildew,1.0,0.997275204359673,0.9986357435197817,367.0
Strawberry___Leaf_scorch,0.9910714285714286,1.0,0.9955156950672646,222.0
Strawberry___healthy,1.0,1.0,1.0,91.0
macro avg,0.9902045798637498,0.9911444869390608,0.990626295303114,7142.0
weighted avg,0.9934049944510317,0.9932791935032204,0.9933027794173677,7142.0
