epoch,train_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_g3,lr_head
1,0.11081787071501216,0.9577836411609498,0.9547674915580269,0.9512546353496301,0.9593119399852288,5e-05,0.0002
2,0.07079004008943836,0.9551451187335093,0.9512892394239982,0.9481307999729051,0.9557392026675793,5e-05,0.0002
3,0.05800714526946346,0.9577836411609498,0.954437353029063,0.9511948287794436,0.9590967621116702,5e-05,0.0002
4,0.0756131242029369,0.9604221635883905,0.9568042292330718,0.9550214167552877,0.959068937221667,5e-05,0.0002
5,0.0573786900844425,0.9511873350923483,0.947543653121692,0.9458357003786677,0.9505783636170092,5e-05,0.0002
6,0.05178593966282076,0.9525065963060686,0.94872580948786,0.9453276751781067,0.9539609662041496,5e-05,0.0002
7,0.04872847979681359,0.9525065963060686,0.9489966069175668,0.9459036704664887,0.9543757545960323,5e-05,0.0002
8,0.044281673679749174,0.9604221635883905,0.9575756829656289,0.9537185033921286,0.9640523169170427,5e-05,0.0002
9,0.049135433649644254,0.9538258575197889,0.9500191088170082,0.9439410361133133,0.9601966421857215,5e-05,0.0002
10,0.04820215106010437,0.9591029023746702,0.9555277640614044,0.9511682808716706,0.9628970432154965,5e-05,0.0002
11,0.03714943412794835,0.9656992084432717,0.9622596479475952,0.9593473900093876,0.9667471525977938,5e-05,0.0002
12,0.04420846371083624,0.9551451187335093,0.9518226031909807,0.9476279801082346,0.959966423175324,5e-05,0.0002
