epoch,epoch_time_sec,train_loss,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall,lr_adapter
1,12.7738,0.11945167860637108,0.9564643799472295,0.9523327004548049,0.9465786360212063,0.9600606640130204,0.001
2,12.0141,0.1049734514620569,0.9525065963060686,0.9481174816453564,0.9426497122118519,0.955966423175324,0.001
3,13.5152,0.09197522915071911,0.9591029023746702,0.9549385491661038,0.950012365552779,0.9614127664859368,0.001
4,13.2525,0.09770591519773006,0.9604221635883905,0.9564973169769715,0.9538073685375279,0.9599192288691448,0.001
5,12.8044,0.08577805070413483,0.9643799472295514,0.9601876097861439,0.9567985894319356,0.9643294740811077,0.001
6,13.005,0.10162313906087851,0.9643799472295514,0.9608565590335967,0.9577936722090991,0.9643350394301317,0.001
7,13.6823,0.09423271167195506,0.9564643799472295,0.9510161109205203,0.9458809838045508,0.9577334224179728,0.001
8,13.5357,0.10393263824128857,0.9525065963060686,0.9461219526803741,0.9404364412510088,0.9546946490951023,0.001
9,12.5142,0.08884790809307662,0.9604221635883905,0.9545451700243384,0.9494927693560694,0.9609773716081914,0.001
10,13.2868,0.06908628940582276,0.9511873350923483,0.9457796836181169,0.9404107220103926,0.9535449407425801,0.0005
11,13.1446,0.06984138645024764,0.9538258575197889,0.9485774595707781,0.9433880964987076,0.9556391815802765,0.0005
