t_hour,day,hour,temp_C,rh_pct,soil_pct,co2_ppm
0,1,0,25.5,78.0,42.0,620.0
1,1,1,26.02,75.82,42.33,587.7
2,1,2,27.47,72.04,42.97,528.9
3,1,3,28.79,71.77,42.12,518.9
4,1,4,28.37,67.57,43.18,498.2
5,1,5,28.25,61.9,43.85,485.6
6,1,6,28.68,67.63,45.45,496.7
7,1,7,28.57,65.9,46.9,519.0
8,1,8,28.34,65.55,49.66,530.2
9,1,9,27.42,67.82,48.94,546.3
10,1,10,27.23,71.23,46.24,621.7
11,1,11,26.73,73.77,48.02,672.1
12,1,12,25.71,77.82,50.03,712.2
13,1,13,25.22,81.79,53.52,733.5
14,1,14,24.36,86.13,56.13,725.8
15,1,15,22.96,82.29,59.76,772.8
16,1,16,22.48,91.29,60.28,786.2
17,1,17,21.54,92.53,59.8,775.3
18,1,18,21.89,95.01,55.92,768.4
19,1,19,21.96,90.36,55.56,736.9
20,1,20,22.23,87.95,53.25,752.3
21,1,21,22.52,84.17,52.42,747.1
22,1,22,24.03,86.27,51.11,721.6
23,1,23,24.85,81.08,50.56,686.5
24,2,0,25.63,79.85,48.75,634.3
25,2,1,,74.09,49.1,549.1
26,2,2,27.78,69.42,42.07,492.1
27,2,3,28.78,66.01,41.61,460.2
28,2,4,29.57,67.96,43.34,431.5
29,2,5,30.11,60.77,46.4,440.8
30,2,6,31.22,56.98,47.12,468.0
31,2,7,30.58,52.71,49.93,475.2
32,2,8,29.73,52.6,,528.2
33,2,9,28.59,54.4,49.46,527.5
34,2,10,28.07,54.59,50.56,
35,2,11,27.61,58.3,,582.3
36,2,12,26.35,58.42,49.44,643.4
37,2,13,24.78,62.0,48.95,675.3
38,2,14,23.4,72.01,47.35,705.7
39,2,15,,78.36,49.16,687.2
40,2,16,22.71,82.96,49.65,688.3
41,2,17,22.51,82.85,49.19,734.9
42,2,18,21.93,80.35,48.13,689.2
43,2,19,22.16,78.38,49.07,728.3
44,2,20,22.58,78.91,50.2,731.9
45,2,21,23.28,81.04,47.12,
46,2,22,24.49,82.03,43.78,
47,2,23,25.44,81.2,45.05,677.6
48,3,0,26.69,75.68,41.37,680.0
49,3,1,27.59,72.65,41.81,639.2
50,3,2,28.56,68.75,44.31,608.3
51,3,3,29.57,65.77,46.61,562.3
52,3,4,29.3,70.22,47.03,544.9
53,3,5,29.55,63.34,47.53,514.1
54,3,6,29.49,62.69,51.3,508.9
55,3,7,29.12,67.42,45.78,559.4
56,3,8,28.71,64.61,44.83,563.2
57,3,9,28.95,65.68,46.89,551.5
58,3,10,27.65,67.98,46.63,
59,3,11,27.22,71.81,49.77,579.6
60,3,12,25.29,71.78,50.21,595.7
