day,capture_hour,temp_mean,temp_min,temp_max,temp_range,hours_temp_in_band,rh_mean,rh_max,rh_min,rh_std,hours_rh_above_85,rh_trend,soil_mean,co2_mean,risk
6,8,25.841,21.12,31.73,10.61,108,78.705,100.0,52.6,12.309,41,0.109,49.088,643.67,Medium
6,18,25.839,21.12,31.73,10.61,108,79.896,100.0,52.6,13.064,47,0.189,48.55,651.377,Medium
7,8,25.884,21.12,31.73,10.61,110,81.617,100.0,54.4,12.385,51,0.177,48.526,662.652,High
7,18,25.862,21.12,31.73,10.61,111,83.696,100.0,62.08,11.807,59,0.16,49.015,668.435,High
8,8,25.883,21.12,31.73,10.61,111,84.423,100.0,61.33,11.972,64,0.057,49.258,671.803,High
8,18,25.988,21.12,31.73,10.61,111,85.108,100.0,61.33,11.955,66,0.057,49.055,678.17,Medium
9,8,26.113,21.12,31.73,10.61,107,86.065,100.0,61.33,11.186,66,-0.015,49.073,675.658,High
9,18,26.148,21.12,31.73,10.61,106,86.175,100.0,61.33,10.875,68,-0.011,48.79,676.971,High
10,8,26.284,21.12,31.73,10.61,106,86.159,100.0,61.33,10.834,69,-0.086,47.468,675.927,High
10,18,26.409,21.33,31.73,10.4,106,85.596,100.0,61.33,11.178,65,-0.063,47.079,680.921,High
11,8,26.291,21.38,31.15,9.77,108,84.979,100.0,59.14,11.892,63,-0.118,46.977,689.853,High
11,18,26.392,21.38,31.15,9.77,108,84.594,100.0,59.14,11.776,60,-0.042,47.027,681.509,High
12,8,26.399,21.38,31.15,9.77,106,84.041,100.0,59.14,12.163,58,-0.043,46.659,676.634,High
12,18,26.492,21.38,31.15,9.77,104,84.164,100.0,59.14,12.231,59,0.04,45.933,671.165,High
13,8,26.455,21.38,31.15,9.77,102,84.929,100.0,59.14,11.653,60,0.008,45.666,673.333,High
13,18,26.352,21.38,31.15,9.77,102,85.362,100.0,59.14,11.684,63,0.061,46.02,675.637,High
14,8,26.419,21.38,31.24,9.86,100,85.945,100.0,59.14,11.482,67,0.065,45.734,670.235,Medium
