epoch,train_loss,ewc_penalty,val_accuracy,val_macro_f1,lr_g3,lr_head
1,0.44686295304979595,1.9436784636387267e-05,0.8627450980392157,0.8513140060090425,0.0001,0.0005
2,0.34013196400233675,1.1536641263124433e-05,0.8529411764705882,0.8385814704237122,0.0001,0.0005
3,0.23349364740507944,9.459828886195152e-06,0.8431372549019608,0.8253801987191391,0.0001,0.0005
4,0.29979172561849865,7.587216779419188e-06,0.8725490196078431,0.8665413142987843,0.0001,0.0005
5,0.2569918653794697,6.517732799693476e-06,0.8921568627450981,0.8855746509745377,0.0001,0.0005
6,0.20071899678025926,5.940908457497633e-06,0.9019607843137255,0.8979393307710681,0.0001,0.0005
7,0.29648072166102274,5.414081702578447e-06,0.8823529411764706,0.8764790764790764,0.0001,0.0005
8,0.2474683267729623,6.183498304121063e-06,0.8823529411764706,0.8742352254730349,0.0001,0.0005
9,0.20119827134268625,6.256130421076835e-06,0.8823529411764706,0.8742037411526795,0.0001,0.0005
10,0.2565751373767853,6.070168443069893e-06,0.8823529411764706,0.8764293314224915,5e-05,0.00025
11,0.23941771260329656,6.006292031608089e-06,0.8725490196078431,0.8668208050851272,5e-05,0.00025
